Organisation;Number of project
7054;ISICO SRL;1
7055;ISIS - Innovative Solutions In Space BV;3
7056;ISITEC GMBH;1
7057;ISKRA ELEKTRO IN ELEKTRONSKA INDUSTRIJA DD;1
7058;Islamic University of Gaza;1
7059;ISLE UTILITIES LIMITED;1
7060;ISLENSKAR ORKURANNSOKNIR;4
7061;ISM VADYBOS IR EKONOMIKOS UNIVERSITETAS UAB;1
7062;ISNET;1
7063;ISNOVA ISTITUTO PER LA PROMOZIONE DELL' INNOVAZIONE TECNOLOGICA SCARL;1
7064;ISORG;1
7065;ISOSILICON AS;1
7066;ISPACE FOUNDATION;1
7067;ISRA-TEAM 98 LTD;1
7068;ISRAEL AEROSPACE INDUSTRIES LTD.;2
7069;ISRAEL NATIONAL MUSEUM OF SCIENCE, TECHNOLOGY AND SPACE DANIEL AND MATILDE RECANATI CENTER;1
7070;ISRAEL NATURE AND NATIONAL PARKS PROTECTION AUTHORITY;1
7071;ISRAEL OCEANOGRAPHIC AND LIMNOLOGICAL RESEARCH LIMITED;3
7072;ISTANBUL AYDIN UNIVERSITESI VAKFI;1
7073;ISTANBUL BILGI UNIVERSITESI;2
7074;ISTANBUL CHEMICALS AND CHEMICAL PRODUCTS EXPORTERS' ASSOCIATION;1
7075;ISTANBUL MEDIPOL UNIVERSITESI VAFKI;1
7076;Istanbul Metropolitan Municipality;1
7077;ISTANBUL SANAYI ODASI;1
7078;ISTANBUL SEHIR UNIVERSITESI;2
7079;ISTANBUL TEKNIK UNIVERSITESI;7
7080;ISTANBUL TEKNOKENT ANONIM SIRKETI;1
7081;ISTANBUL UNIVERSITESI;3
7082;ISTANBUL VALILIGI;1
7083;ISTARSKA RAZVOJNA AGENCIJA, DRUSTVO ZA OBRADU PODATAKA, SAVJETOVANJE I ZASTUPANJE, DOO;1
7084;ISTITUTI FISIOTERAPICI OSPITALIERI;1
7085;ISTITUTO AFFARI INTERNAZIONALI;7
7086;Istituto Centrale per il Catalogo Unico delle biblioteche italiane e per le informazioni bibliografiche;2
7087;ISTITUTO COMPRENSIVO STATALE B. LORENZI FUMANE VR;2
7088;ISTITUTO DELTA ECOLOGIA APPLICATA SRL;1
7089;ISTITUTO DI RICERCA TRASLAZIONALE PER L'APPARATO LOCOMOTORE NICOLA CERULLI - LPMRI - SRL;1
7090;ISTITUTO DI RICERCHE FARMACOLOGICHE MARIO NEGRI;9
7091;ISTITUTO DI STUDI PER L'INTEGRAZIONE DEI SISTEMI SCRL;9
7092;Istituto Einaudi per l'Economia e la Finanza;2
7093;ISTITUTO EUROPEO DI ONCOLOGIA SRL;7
7094;ISTITUTO GIANNINA GASLINI;1
7095;ISTITUTO ITALIANO PER LA PRIVACY;1
7096;ISTITUTO LUCE-CINECITTA SRL;1
7097;ISTITUTO NAZIONALE DI ASTROFISICA;15
7098;ISTITUTO NAZIONALE DI FISICA NUCLEARE;30
7099;ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA;10
7100;ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE;4
7101;ISTITUTO NAZIONALE DI RICERCA METROLOGICA;4
7102;ISTITUTO NAZIONALE DI RIPOSO E CURA PER ANZIANI INRCA;1
7103;ISTITUTO NAZIONALE DI STATISTICA;2
7104;ISTITUTO NAZIONALE MALATTIE INFETTIVE L.SPALLANZANI - IRCCS;6
7105;ISTITUTO ORTOPEDICO GALEAZZI;1
7106;ISTITUTO ORTOPEDICO RIZZOLI;2
7107;ISTITUTO PER I BENI ARTISTICI CULTURALI E NATURALI DELLA REGIONE EMILIA ROMAGNA;1
7108;ISTITUTO PER INNOVAZIONI TECNOLOGICHE BOLZANO SCARL;2
7109;ISTITUTO PER LA CERTIFICAZIONE ETICA ED AMBIENTALE;1
7110;ISTITUTO PER LO STUDIO E LA PREVENZIONE ONCOLOGICA;1
7111;ISTITUTO PSICOANALITICO PER LE RICERCHE SOCIALI;1
7112;ISTITUTO REGIONALE RITTMEYER PER I CIECHI DI TRIESTE;1
7113;ISTITUTO ROMANO PER LA FORMAZIONE IMPRENDITORIALE AZIENDA SPECIALE;1
7114;ISTITUTO SCIENTIFICO BIOMEDICO EUROMEDITERRANEO SCPA;1
7115;ISTITUTO SPERIMENTALE MODELLI GEOTECNICI SOCIETA A RESPONSABILITA LIMITATA;1
7116;ISTITUTO SUPERIORE DELLE COMUNICAZIONI E DELLE TECNOLOGIE DELL'INFORMAZIONE;1
7117;ISTITUTO SUPERIORE DI SANITA;19
7118;ISTITUTO SUPERIORE MARIO BOELLA SULLE TECNOLOGIE DELL'INFORMAZIONE E DELLE TELECOMUNICAZIONI;16
7119;Istituto Superiore per la Protezione e la Ricerca Ambientale;8
7120;Istituto Zooprofilattico Sperimentale del Piemonte Liguria e Valle d'Aosta;1
7121;ISTRAZIVACKO-RAZVOJNI INSTITUT RT-RK DOO ZA SISTEME ZASNOVANE NA RACUNARIMA NOVI SAD;1
7122;ISW INSTITUT FUR STRUKTURPOLITIK UND WIRTSCHAFTSFORDERUNG GEM GMBH;1
7123;ISZGRO DIODES BV;1
7124;IT-UNIVERSITETET I KOBENHAVN;1
7125;ITA-SUOMEN YLIOPISTO;18
7126;ITALCEMENTI FABBRICHE RIUNITE CEMENTO SPA;1
7127;ITALTEK SRL;1
7128;ITALTEL SPA;1
7129;ITAMAR MEDICAL LTD;1
7130;ITASCA CONSULTANTS;1
7131;ITASCA CONSULTING LTD;1
7132;ITECHNIC LTD;1
7133;ITEMS International;1
7134;ITEOS THERAPEUTICS;1
7135;ITESTIT SL;2
7136;ITHERA MEDICAL GMBH;2
7137;ITM POWER (TRADING) LIMITED;6
7138;ITP NV;1
7139;ITRACTOR UK LTD;1
7140;ITRB LTD;1
7141;ITRUST CONSULTING SARL;2
7142;ITS AUTOMOTIVE NORD GMBH;1
7143;ITTI Sp.zo.o.;5
7144;IVANE JAVAKHISHVILI TBILISI STATE UNIVERSITY;1
7145;IVECO ESPANA SL;1
7146;IVECO FRANCE SA;1
7147;IVECO S.p.A.;2
7148;IVERSITY GMBH;1
7149;IVL SVENSKA MILJOEINSTITUTET AB;6
7150;IVM SRL;1
7151;IVTECH SRL;2
7152;IVZW EUROLINES ORGANISATION;1
7153;IWB INDUSTRIELLE WERKE BASEL;1
7154;IWW RHEINISCH-WESTFALISCHES INSTITUT FUER WASSER BERATUNGS-UND ENTWICKLUNGSGESELLSCHAFT MBH;2
7155;IWW RHEINISCH WESTFALISCHES INSTITUT FUR WASSERFORSCHUNG GEMEINNUTZIGE GMBH;2
7156;IX-FACTORY GMBH;1
7157;IXARIS SYSTEMS LTD;1
7158;IXICO TECHNOLOGIES LIMITED;1
7159;IXION INDUSTRY AND AEROSPACE SL;5
7160;IXSCIENT LIMITED;2
7161;IXUN LASERTECHNIK GMBH;1
7162;IZBA CELNA W GDYNI;1
7163;IZBA PRZEMYSLOWO - HANDLOWA W KRAKOWIE;3
7164;IZERTIS SOCIEDAD LIMITADA;1
7165;IZMIR IL MILLI EGITIM MUDURLUGU;1
7166;IZMIR INSTITUTE OF TECHNOLOGY;3
7167;IZMIR VALILIGI;1
7168;IZNAB SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;3
7169;IZT INSTITUT FUER ZUKUNFTSSTUDIEN UND TECHNOLOGIEBEWERTUNG GMBH;2
7170;J HALDRUP AS;1
7171;J. L. ECONBOARD SOCIETA A RESPONSABILITA LIMITATA SEMPLIFICATA;1
7172;J.A.M. DE RIJK BV;1
7173;J.K. FABRICATIONS LIMITED;1
7174;J.U. PRIRODNJACKI MUZEJ CRNE GORE PODGORICA;1
7175;J.W. OSTENDORF GMBH & CO. KG;2
7176;J.Z.U. INSTITUT ZA JAVNO ZDRAVJE NA REPUBLIKA MAKEDONIJA SKOPJE;1
7177;JABE BEHEER BV;1
7178;JAC ITALY DESIGN CENTER SRL;1
7179;Jackweld Limited;1
7180;JACOBS UNIVERSITY BREMEN GGMBH;9
7181;JAEGER JILL;1
7182;JAKOB ESCHBACH GMBH;1
7183;JAKUSZ SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;1
7184;JAMENDO SA;1
7185;JAMES ROBINSON FIBRES LIMITED;1
7186;JAN DE NUL NV;1
7187;JANMEDIA INTERACTIVE SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;1
7188;JANSSEN CILAG SA;2
7189;JANSSEN PHARMACEUTICA NV;3
7190;JANSSEN VACCINES & PREVENTION BV;2
7191;JAPAN AEROSPACE EXPLORATION AGENCY;1
7192;JARDFEINGI;1
7193;JARDINERIA Y VIVEROS LA NORIA SL;1
7194;JARILO LIMITED;1
7195;JAS TECHNOLOGIE SP ZOO;1
7196;JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA SPODBUJANJE PODJETNISTVA,INOVATIVNOSTI, RAZVOJA, INVESTICIJ IN TURIZMA;1
7197;JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA VARNOST PROMETA;1
7198;JAVNA AGENCIJA ZA RAZISKOVALNO DEJAVNOST REPUBLIKE SLOVENIJE;1
7199;JAVNA USTANOVA UNIVERZITET CRNE GORE PODGORICA;3
7200;JAVNI ZAVOD REPUBLIKE SLOVENIJE ZA VARSTVO KULTURNE DEDISCINE;1
7201;JAVNO KOMUNALNO PREDUZECE INFORMATIKA NOVI SAD;1
7202;JAVNO PODJETJE LJUBLJANSKA PARKIRISCA IN TRZNICE DOO;1
7203;JAVNO PODJETJE LJUBLJANSKI POTNISKI PROMET D.O.O.;1
7204;JAVNO PREDUZECE ELEKTROPRIVREDA BOSNE I HERCEGOVINE DD*;1
7205;JAVNO SOOBRAKAJNO PRETPRIJATIE SKOPJE;1
7206;JCLARITY LIMITED;1
7207;JCMWAVE GMBH;1
7208;JCP-CONNECT;2
7209;JDSU UK LIMITED;1
7210;JDSU ULTRAFAST LASERS AG;1
7211;JEKO DISAIN OU;1
7212;JEMM RESEARCH SARL;1
7213;JENA-GEOS-INGENIEURBURO GMBH;1
7214;JENA-OPTRONIK GMBH;1
7215;JENACELL GMBH;1
7216;JENLAB GMBH;1
7217;JENOPTIK OPTICAL SYSTEMS GMBH;1
7218;JENOPTIK ROBOT GMBH;1
7219;JERA CONSULTING LIMITED;1
7220;JEUMONT ELECTRIC SAS;1
7221;JEUNESSES SCIENTIFIQUES DE BELGIQUE;1
7222;JGK TECH EHF;1
7223;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES*JAAS;1
7224;JIC, ZAJMOVE SDRUZENI PRAVNICKCH OSOB;3
7225;JIHOCESKA UNIVERZITA V CESKYCH BUDEJOVICICH;2
7226;JIHOSTROJ AS;2
7227;JIMMA UNIVERSITY;1
7228;JIN CO.,LTD.;1
7229;JISC COLLECTIONS AND JANET LIMITED;2
7230;JISC LBG;2
7231;JLM INNOVATION GMBH;2
7232;JM RECYCLING NV;1
7233;JMV URAKOINTI OY;1
7234;JNCC SUPPORT CO LBG;1
7235;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;10
7236;JOBST TECHNOLOGIES GMBH;1
7237;JOECKEL BERNHARD;1
7238;JOENSUUN TIEDEPUISTO OY;1
7239;JOHANN HEINRICH VON THUENEN-INSTITUT, BUNDESFORSCHUNGSINSTITUT FUER LAENDLICHE RAEUME, WALD UND FISCHEREI;5
7240;JOHANN WOLFGANG GOETHE UNIVERSITAET FRANKFURT AM MAIN;31
7241;JOHANNES GUTENBERG-UNIVERSITAT MAINZ;19
7242;JOHANNITER-UNFALL-HILFE EV;1
7243;JOHANNITER OSTERREICH AUSBILDUNG UND FORSCHUNG GEMEINNUTZIGE GMBH;1
7244;JOHANSSON SUSAN SVENSK INDUSTRIGRAV;1
7245;JOHN DEERE GMBH & CO. KG*JD;1
7246;JOHN INNES CENTRE;10
7247;JOHN POINTON & SONS LIMITED;1
7248;JOHNS HOPKINS UNIVERSITY;2
7249;JOHNSON CONTROLS SYSTEMS AND SERVICE ITALY SRL;1
7250;JOHNSON MATTHEY BATTERY SYSTEMS ENGINEERING LIMITED;1
7251;JOHNSON MATTHEY FUEL CELLS LIMITED;1
7252;JOHNSON MATTHEY PLC;11
7253;JOINPAD SRL;1
7254;JOINT INNOVATION CENTRE OF BAS;2
7255;JOINT INSTITUTE FOR NUCLEAR RESEARCH;1
7256;JOINT INSTITUTE FOR V.L.B.I. IN EUROPE (J.I.V.E.);1
7257;JOINT INSTITUTE FOR VERY LONG BASELINE INTERFEROMETRY AS A EUROPEAN RESEARCH INFRASTRUCTURE CONSORTIUM (JIV-ERIC);1
7258;JOLOCOM UG;1
7259;JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY;1
7260;JONAVOS RAJONO SAVIVALDYBES ADMINISTRACIJA;1
7261;JONKOPINGS LAN;1
7262;JORDAN KRASTITELSKI JORDAN 2001;1
7263;JORNA RONALDUS;1
7264;JOS TECHNOLOGY;1
7265;JOT INTERNET MEDIA ESPAÑA SL;2
7266;JOTNE EPM TECHNOLOGY AS;1
7267;JOULE ASSET EUROPE AB OY;2
7268;JOULUPUKKI TV OY;1
7269;JOURNALISM++;1
7270;JOVO INTERNET ELO LABORATORIUM EGYESULET;1
7271;JOWAT AG;1
7272;JPK INSTRUMENTS AG;1
7273;JRC -JOINT RESEARCH CENTRE- EUROPEAN COMMISSION;47
7274;JSR;1
7275;JTI - Institutet för jordbruks- och miljöteknik AB;1
7276;JU ZAVOD ZA GEOLOSKA ISTRAZIVANJA;1
7277;JUGUETTOS CENTRAL DE COMPRAS SCOOP;1
7278;JULIGHT SRL;1
7279;JULIUS-MAXIMILIANS UNIVERSITAET WUERZBURG;16
7280;JUMP FORUM SPRL;1
7281;JUNG-GEOTHERM UG;1
7282;JUNG THOMAS;1
7283;JUNKERS PROFLY GMBH;1
7284;JUSTUS-LIEBIG-UNIVERSITAET GIESSEN;7
7285;JVI GmbH;1
7286;JYVASKYLAN YLIOPISTO;17
7287;K & S GMBH PROJEKTMANAGEMENT;2
7288;K CONTROLS LTD;1
7289;K DANSE;1
7290;KAASA SOLUTION GMBH;1
7291;KABUSHIKI GAISHA ENU TI TI DOKOMO;1
7292;KADIMASTEM LTD;1
7293;KADIR HAS UNIVERSITESI;1
7294;KAHRAMANMARAS TICARET VE SANAYI ODASI;1
7295;KAI KOMPETENZZENTRUM AUTOMOBIL - UND INDUSTRIEELEKTRONIK GMBH;2
7296;KAINUUN ETU OY;1
7297;KAIROS FUTURE AKTIEBOLAG;2
7298;KAITEK SRL;1
7299;KAJO SRO;1
7300;KALLIERGEIES YDROVION ORGANISMON ANONYMOS ETAIREIA;1
7301;KALRAY SA;1
7302;KAMER VAN KOOPHANDEL;2
7303;KAMIS WRANG APS;1
7304;KAMUSAL POLITIKA VE DEMOKRASI CALISMALARI DERNEGI;2
7305;KANFIT LTD;1
7306;KANICHI RESEARCH SERVICES LIMITED;1
7307;KANSALLISARKISTO;1
7308;KANT MARINE EN INDUSTRIE NV;1
7309;KAPOSVARI EGYETEM;1
7310;KAPSCH TrafficCom AG;1
7311;KARADENIZ TEKNIK UNIVERSITESI;1
7312;KARAYOLLARI GENEL MUDURLUGU;1
7313;KARDARAS KONSTANTINOS;1
7314;KARL BORG EVENTS LTD;1
7315;Karlsruher Institut fuer Technologie;28
7316;KARLSRUHER INSTITUT FUER TECHNOLOGIE;48
7317;KARLSTADS UNIVERSITET;8
7318;KARNTNER WIRTSCHAFTSFORDERUNGSFONDS;1
7319;KAROLINSKA INSTITUTET;72
7320;KARTERIS APOSTOLOS KARTERIS MARIN OE;1
7321;Kasetsart University;1
7322;KASPERSKY LAB UK LTD;1
7323;KATHOLIEKE HOGESCHOOL VIVES ZUID;1
7324;KATHOLIEKE UNIVERSITEIT LEUVEN;124
7325;KATHOLISCHE HOCHSCHULE FREIBURG GGMBH;1
7326;KATION EUROPA KUTATASI FEJLESZTESIES KERESKEDELMI BT;1
7327;KATOWICE - MIASTO NA PRAWACH POWIATU;1
7328;Kauno prekybos, pramones ir amatu rumai;1
7329;KAUNO TECHNOLOGIJOS UNIVERSITETAS;8
7330;KAUPPERT KLEMENS;1
7331;KAYSER ITALIA SRL;1
7332;KCN GMBH KUNSTSTOFF COATING NETWORK;1
7333;KE-WORKS BV;2
7334;KEA KLIMASCHUTZ- UND ENERGIEAGENTUR BADEN-WUERTTEMBERG GMBH;2
7335;KEEMILISE JA BIOLOOGILISE FUUSIKA INSTITUUT;1
7336;KELADA PHARMACHEM LIMITED;2
7337;KELAG WARME GMBH;1
7338;KELDA DRILLING CONTROLS AS;1
7339;Keliber Oy;1
7340;KELLOGG MANAGEMENT SERVICES (EUROPE) LIMITED;1
7341;KELVION HOLDING GMBH;1
7342;KELVION THERMAL SOLUTIONS (PTY) LTD;1
7343;KEMA NEDERLAND BV;5
7344;KEMAKTA KONSULT AB;1
7345;KEMIJSKI INSTITUT;8
7346;KEMOTECH SRL;1
7347;KEMPFERT GEOTECHNIK GMBH;1
7348;KENNAMETAL STELLITE GMBH;1
7349;KENTRO DIADOSIS EPISTIMON KAI MOUSEIO TECHNOLOGIAS IDRYMA;1
7350;KENTRO EREVNON NOTIOANATOLIKIS EVROPIS ASTIKI MI KERDOSKOPIKI ETAIREIA;2
7351;KENTRO MELETON ASFALEIAS;7
7352;KENYA WILDLIFE SERVICE;1
7353;KEO GMBH;1
7354;KEOLIS;2
7355;KEONYS SAS;1
7356;KEPLER CAPITAL MARKETS SA;2
7357;KERABEN GRUPO SA;1
7358;KERAFRIT SA;1
7359;KERAPLAN SRL;1
7360;KERN-LIEBERS TMG SA;1
7361;KERN EUROPEAN AFFAIRS SPRL;1
7362;KERNEOS SA;1
7363;KERNOCK PARK PLANTS LIMITED;1
7364;KERNTECHNISCHE HILFSDIENST GMBH;1
7365;KERONITE INTERNATIONAL LTD;1
7366;KEROS CERAMICA SL;1
7367;KESKKONNAAGENTUUR;1
7368;KESKKONNAINSPEKTSIOON;1
7369;KESKKONNAMINISTEERIUM;1
7370;KEYLEMON SA;1
7371;KEYNATURA EHF;1
7372;KEYSIGHT TECHNOLOGIES BELGIUM;1
7373;KEYSIGHT TECHNOLOGIES DENMARK APS;2
7374;KEYSIGHT TECHNOLOGIES SPAIN SL;1
7375;KGHM CUPRUM SP ZOO CENTRUM BADAWCZO-ROZWOJOWE;2
7376;KGHM KUPFER AG;1
7377;KGHM POLSKA MIEDZ SA;3
7378;KGR SPA;1
7379;KHM-MUSEUMSVERBAND;1
7380;KHONDRION BV;1
7381;KIC INNOENERGY SE;3
7382;KIEBACK & PETER GMBH & CO KG;1
7383;KIEL REGION GMBH;1
7384;KIINTEISTO OY IDEAPARK AB;1
7385;KIINTEISTO OY Laitilan Terveyskoti;1
7386;KILIAN WATER APS;1
7387;KILIC DENIZ URUNLERI URETIMI IHRACAT ITHALAT VE TICARET AS;2
7388;KIMBERLY-CLARK EUROPE LIMITED;1
7389;KINALISOFT SRO;1
7390;KINASERA OU;1
7391;KINDERBURO UNIVERSITAT WIEN GMBH;1
7392;KINESENSE LIMITED;1
7393;KING'S COLLEGE LONDON;60
7394;KING OF APP SL;1
7395;KINGSTON UNIVERSITY HIGHER EDUCATION CORPORATION;3
7396;KIOLIS;1
7397;KIOSKED OY AB;1
7398;KIRUNA WAGON AB;2
7399;KISII COUNTY;1
7400;KISII UNIVERSITY;1
7401;KISKA GMBH;2
7402;KISUMA CHEMICALS BV;1
7403;Kite Innovation (Europe) Limited;5
7404;KITE SOLUTIONS SRL;2
7405;KIUNSYS SRL;1
7406;KIVANC KIMYA SANAYII VE TICARET ANONIM SIRKETI;1
7407;KIWI POWER LTD;4
7408;KJV AS;1
7409;KKS-KALTE-KLIMA-SACHSEN GMBH;2
7410;KLA-TENCOR CORPORATION (ISRAEL);3
7411;KLA-Tencor MIE GmbH;1
7412;Klados Manousos & SIA E.E.;1
7413;KLAIPEDA CHAMBER OF COMMERCE INDUSTRY AND CRAFTS;1
7414;KLAIPEDOS MIESTO SAVIVALDYBES ADMINISTRACIJA;1
7415;KLAIPEDOS UNIVERSITETAS;3
7416;KLEINKLEIN GMBH;1
7417;KLEMM AND SOHN GMBH AND CO KG;1
7418;KLIMA - UND ENERGIEFONDS;1
7419;KLINICKI BOLNICKI CENTAR SESTRE MILOSRDNICE USTANOVA;1
7420;KLINIKA ZA INFEKTIVNE BOLESTI DR. FRAN MIHALJEVIC;1
7421;KLINIKUM BAYREUTH GMBH;1
7422;KLINIKUM DER UNIVERSITAET REGENSBURG;1
7423;KLINIKUM DER UNIVERSITAET ZU KOELN;8
7424;KLINIKUM RECHTS DER ISAR DER TECHNISCHEN UNIVERSITAT MUNCHEN;13
7425;KLOECKNER DESMA Schuhmaschinen GmbH;1
7426;KLUGHAMMER GMBH;1
7427;KM RUSTFRI AS;1
7428;KMETIJSKI INSTITUT SLOVENIJE - AGRICULTURAL INSTITUTE OF SLOVENIA;1
7429;KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE, KMETIJSKO GOZDARSKI ZAVOD NOVO MESTO;1
7430;KMETIJSKO GOZDARSKA ZBORNIKA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR;1
7431;KMWE PRECISIE EINDHOVEN BV;1
7432;KNAUF GMBH;1
7433;KNEPPELHOUT & KORTHALS NV;1
7434;KNIGHT SCIENTIFIC LIMITED;1
7435;KNMP HOLDING B.V.;1
7436;KNORR-BREMSE SYSTEME FUR SCHIENENFAHRZEUGE GMBH*KB;1
7437;KNOW-CENTER GMBH RESEARCH CENTER FOR DATA-DRIVEN BUSINESS & BIG DATA ANALYTICS;5
7438;KNOWLE WEST MEDIA CENTRE LBG - KWMC;1
7439;KNOWLEDGE & INNOVATION CONSULTANTS SYMVOULEFTIKI MONOPROSOPI EPE;1
7440;KNOWLEDGE 4 ALL FOUNDATION LBG;1
7441;KNOWLEDGE DEVELOPMENT FOR POF SL;1
7442;KNOWLEDGE INNOVATION MARKET S.L.;5
7443;KNOWLEDGE NOW LIMITED;2
7444;KNOWLEDGE SRL;1
7445;KNOWLEDGE TRANSFER NETWORK LIMITED;4
7446;KNOWLIAH NV;1
7447;KOBENHAVNS KOMMUNE;4
7448;KOBENHAVNS UNIVERSITET;168
7449;KOC UNIVERSITY;15
7450;KODA PROM, PODEJETJE ZA MARKETING,TRGOVINO IN OGLASEVANJE, DOO;1
7451;KOENIGSEGG AUTOMOTIVE AB;1
7452;KOFOD CASPER;1
7453;KOKOMO HEALTHCARE LIMITED;1
7454;KOLEGIUM EUROPEJSKIE;1
7455;KOMENDA GLOWNA STRAZY GRANICZNEJ;2
7456;KOMET AUSTRIA GMBH;1
7457;KOMMUNAL- OG MODERNISERINGSDEPARTEMENTET;2
7458;KOMPASS-ZENTRUM FUR EXISTENZGRUNDUNGEN, FRANKFURT AM MAIN, GMBH;1
7459;KOMPETENZNETZ VORHOFFLIMMERN E.V.;1
7460;Kompetenzzentrum - Das Virtuelle Fahrzeug, Forschungsgesellschaft mbH;16
7461;KOMPETENZZENTRUM HOLZ GMBH;3
7462;KOMPETENZZENTRUM TECHNIK-DIVERSITY-CHANCENGLEICHHEIT E.V.;1
7463;KONCAR INSTITUT ZA ELEKTROTEHNIKU D.D.;1
7464;KONGSBERG MARITIME AS;2
7465;KONGSKILDE INDUSTRIES AS;1
7466;KONIKER S COOP;1
7467;Koninklijk Instituut voor het Kunstpatrimonium;1
7468;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT-KNMI;16
7469;KONINKLIJKE BAM GROEP NV;1
7470;KONINKLIJKE COOPERATIVE COSUN UA;1
7471;Koninklijke KPN NV;1
7472;KONINKLIJKE LUCHTVAART MAATSCHAPPIJNV;2
7473;KONINKLIJKE NEDERLANDSE AKADEMIE VAN WETENSCHAPPEN - KNAW;27
7474;KONINKLIJKE POSTNL BV;1
7475;KONINKLIJKE STERRENWACHT VAN BELGIE;4
7476;Konrad-Zuse-Zentrum für Informationstechnik Berlin;1
7477;KONSORTIUM DEUTSCHE MEERESFORSCHUNG e.V.;2
7478;KONTALI ANALYSE AS;1
7479;KONTOR 46 DI BONASSO MATTEO SAS;1
7480;KONYA SANAYI ODASI;1
7481;KONZUM,TRGOVINA NA VELIKO I MALO DD;1
7482;KOPPERT BV;1
7483;KORE TECHNOLOGY LTD;1
7484;KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY;1
7485;KOREA ELECTRONICS TECHNOLOGY INSTITUTE;1
7486;KOREA INSTITUTE OF CIVIL ENGINEERING AND BUILDING TECHNOLOGY;1
7487;Korea Institute of Science and Technology;1
7488;KORONA INZENIRING DD;1
7489;KOSGEB-KUCUK VE ORTA OLCEKLI ISLETMELERI GELISTIRME VE DESTEKLEME IDARESI BASKANLIGI;6
7490;KOSMONAUTA.NET SP ZOO;1
7491;KOSOVAR CENTRE FOR SECURITY STUDIES;2
7492;KOTKAMILLS OY;1
7493;KOTO PROIZVODNO IN TRGOVSKO PODJETJE DOO;1
7494;KOVIS PROIZVODNA DRUZBA DOO;1
7495;KOZEP-DUNANTULI REGIONALIS INNOVACIOS UGYNOKSEG NONPROFIT KFT;1
7496;KOZEP-EUROPAI EGYETEM;15
7497;KOZEP ES KELET EUROPAI AKVAKULTURAKOZPONTOK EGYESULET;1
7498;KOZLODUY NPP PLC;1
7499;KPAD LTD;1
7500;KPEOPLE LTD;1
7501;KPIT MEDINI TECHNOLOGIES AG;1
7502;KRAEFTENS BEKAEMPELSE;1
7503;KRAJATE GMBH;1
7504;KRAJOWA AGENCJA POSZANOWANIA ENERGII SA;5
7505;KRAJSKA HOSPODARSKA KOMORA MORAVSKOSLEZSKEHO KRAJE;1
7506;KRAKOWSKI SZPITAL SPECJALISTYCZNY IM. JANA PAWLA II;1
7507;Kreativno edukativni centar;2
7508;KRECA ENTO FEED BV;1
7509;Kreftforeningen;1
7510;KREIS LIPPE DER LANDRAT;1
7511;KREW ENVIROMENTAL LTD;1
7512;KRISTIANSAND KOMMUNE;1
7513;KRITI;1
7514;KRIYA MATERIALS BV;1
7515;KROFTA AMERICA LATINA S.A.;1
7516;KROHNE MESSTECHNIK GMBH;1
7517;KROMEK LIMITED;1
7518;KRTS INTERNATIONAL LTD;1
7519;KRYSIUM TECHNOLOGIES LIMITED;1
7520;KS LAATUENERGIA OY;1
7521;KTEDOGEN SRL;1
7522;KTM MOTORRAD AG;1
7523;KUARTISMED MEDIKAL ARASTIRMA GELISTIRME DANISMANLIK EGITIM SANAYI VE TICARET LIMITED SIRKETI;1
7524;KUEHNE+NAGEL SOCIETE ANONYME FOR TRANSPORTS & LOGISTICS;3
7525;KUKA AUTOMATISME ROBOTIQUE;1
7526;KUKA Laboratories GmbH;1
7527;KUKA ROBOTER GMBH;3
7528;KUNGL. SKOGS- OCH LANTBRUKSAKADEMIEN KSLA;1
7529;KUNGLIGA BIBLIOTEKET;1
7530;KUNGLIGA TEKNISKA HOEGSKOLAN;80
7531;KUNNSKAPSBYEN LILLESTROM FORENING;1
7532;KURATORIUM FUER VERKEHRSSICHERHEIT;2
7533;Kurt Salmon Luxembourg S.A.;3
7534;KVAERNER CONCRETE SOLUTIONS AS;1
7535;KWAZULU NATAL RESEARCH INSTITUTE FOR TB-HIV (K-RITH) NPC;1
7536;KWB KOMPENTENTZZENTRUM WASSER BERLIN GEMEINNUTZIGE GMBH;4
7537;KWR WATER B.V.;6
7538;KWS LOCHOW GMBH;1
7539;KYBERTEC S.R.O.;1
7540;KYMANER-TECNOLOGIAS ENERGETICAS LDA;1
7541;L'ACN L'ACCESSORIO NUCLEARE SRL;1
7542;L'AFRICAINE D'ARCHITECTURE;1
7543;L'AIR LIQUIDE S.A;1
7544;L'ATELIER DES JOURS A VENIR;1
7545;L'AVION JAUNE;1
